,geohash,latitude,longitude,time,icon,precipType,summary
5,c283ybxb1qz2,48.1229,-123.0911,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c283ybxb1qz2,48.1229,-123.0911,2020-01-26 00:00:00-08:00,partly-cloudy-day,rain,Partly cloudy throughout the day.
7,c283ybxb1qz2,48.1229,-123.0911,2020-01-27 00:00:00-08:00,rain,rain,Possible drizzle in the morning and afternoon.
0,c290xzxf7h99,47.942,-121.9924,2020-01-20 00:00:00-08:00,rain,rain,Mostly cloudy throughout the day.
1,c290xzxf7h99,47.942,-121.9924,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c290xzxf7h99,47.942,-121.9924,2020-01-22 00:00:00-08:00,rain,rain,Rain throughout the day.
3,c290xzxf7h99,47.942,-121.9924,2020-01-23 00:00:00-08:00,rain,rain,Rain throughout the day.
4,c290xzxf7h99,47.942,-121.9924,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c290xzxf7h99,47.942,-121.9924,2020-01-25 00:00:00-08:00,rain,rain,Light rain throughout the day.
6,c290xzxf7h99,47.942,-121.9924,2020-01-26 00:00:00-08:00,rain,rain,"Light rain until morning, starting again in the evening."
7,c290xzxf7h99,47.942,-121.9924,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c2et5xjz4z3q,48.7311,-118.6663,2020-01-20 00:00:00-08:00,partly-cloudy-day,snow,Mostly cloudy throughout the day.
1,c2et5xjz4z3q,48.7311,-118.6663,2020-01-21 00:00:00-08:00,rain,rain,Possible light rain in the morning and afternoon.
2,c2et5xjz4z3q,48.7311,-118.6663,2020-01-22 00:00:00-08:00,snow,snow,Foggy in the evening and overnight.
3,c2et5xjz4z3q,48.7311,-118.6663,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c2et5xjz4z3q,48.7311,-118.6663,2020-01-24 00:00:00-08:00,rain,rain,Light rain in the morning and overnight.
5,c2et5xjz4z3q,48.7311,-118.6663,2020-01-25 00:00:00-08:00,rain,rain,Possible light rain until evening.
6,c2et5xjz4z3q,48.7311,-118.6663,2020-01-26 00:00:00-08:00,partly-cloudy-day,rain,Mostly cloudy throughout the day.
7,c2et5xjz4z3q,48.7311,-118.6663,2020-01-27 00:00:00-08:00,snow,snow,Foggy until evening.
0,c29280s7vge1,47.9038,-121.9861,2020-01-20 00:00:00-08:00,rain,rain,Mostly cloudy throughout the day.
1,c29280s7vge1,47.9038,-121.9861,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c29280s7vge1,47.9038,-121.9861,2020-01-22 00:00:00-08:00,rain,rain,Rain throughout the day.
3,c29280s7vge1,47.9038,-121.9861,2020-01-23 00:00:00-08:00,rain,rain,Rain throughout the day.
4,c29280s7vge1,47.9038,-121.9861,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c29280s7vge1,47.9038,-121.9861,2020-01-25 00:00:00-08:00,rain,rain,Light rain throughout the day.
6,c29280s7vge1,47.9038,-121.9861,2020-01-26 00:00:00-08:00,rain,rain,"Possible light rain until morning, starting again in the evening."
7,c29280s7vge1,47.9038,-121.9861,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c2d9regut2r3,48.0536,-119.8994,2020-01-20 00:00:00-08:00,partly-cloudy-day,snow,Foggy overnight.
1,c2d9regut2r3,48.0536,-119.8994,2020-01-21 00:00:00-08:00,snow,snow,Possible light snow in the morning and afternoon.
2,c2d9regut2r3,48.0536,-119.8994,2020-01-22 00:00:00-08:00,rain,rain,Possible light rain starting in the afternoon.
3,c2d9regut2r3,48.0536,-119.8994,2020-01-23 00:00:00-08:00,rain,rain,Possible light rain throughout the day.
4,c2d9regut2r3,48.0536,-119.8994,2020-01-24 00:00:00-08:00,rain,rain,Possible light rain in the morning and overnight.
5,c2d9regut2r3,48.0536,-119.8994,2020-01-25 00:00:00-08:00,rain,rain,Light rain in the morning and afternoon.
6,c2d9regut2r3,48.0536,-119.8994,2020-01-26 00:00:00-08:00,partly-cloudy-day,rain,Mostly cloudy throughout the day.
7,c2d9regut2r3,48.0536,-119.8994,2020-01-27 00:00:00-08:00,snow,snow,Overcast throughout the day.
0,c20p6wh1mdm9,46.3076,-123.6344,2020-01-20 00:00:00-08:00,rain,rain,Light rain overnight.
1,c20p6wh1mdm9,46.3076,-123.6344,2020-01-21 00:00:00-08:00,rain,rain,Rain throughout the day.
2,c20p6wh1mdm9,46.3076,-123.6344,2020-01-22 00:00:00-08:00,rain,rain,Rain throughout the day.
3,c20p6wh1mdm9,46.3076,-123.6344,2020-01-23 00:00:00-08:00,rain,rain,Rain throughout the day.
4,c20p6wh1mdm9,46.3076,-123.6344,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c20p6wh1mdm9,46.3076,-123.6344,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c20p6wh1mdm9,46.3076,-123.6344,2020-01-26 00:00:00-08:00,rain,rain,Light rain starting in the afternoon.
7,c20p6wh1mdm9,46.3076,-123.6344,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c22ujvgsm1u6,47.1417,-122.4376,2020-01-20 00:00:00-08:00,rain,rain,Possible drizzle overnight.
1,c22ujvgsm1u6,47.1417,-122.4376,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c22ujvgsm1u6,47.1417,-122.4376,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c22ujvgsm1u6,47.1417,-122.4376,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c22ujvgsm1u6,47.1417,-122.4376,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c22ujvgsm1u6,47.1417,-122.4376,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c22ujvgsm1u6,47.1417,-122.4376,2020-01-26 00:00:00-08:00,rain,rain,Mostly cloudy throughout the day.
7,c22ujvgsm1u6,47.1417,-122.4376,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c28wqdjj1kpw,48.923,-122.7543,2020-01-20 00:00:00-08:00,rain,rain,Light rain throughout the day.
1,c28wqdjj1kpw,48.923,-122.7543,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c28wqdjj1kpw,48.923,-122.7543,2020-01-22 00:00:00-08:00,rain,rain,Rain throughout the day.
3,c28wqdjj1kpw,48.923,-122.7543,2020-01-23 00:00:00-08:00,rain,rain,Rain throughout the day.
4,c28wqdjj1kpw,48.923,-122.7543,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c28wqdjj1kpw,48.923,-122.7543,2020-01-25 00:00:00-08:00,rain,rain,Light rain throughout the day.
6,c28wqdjj1kpw,48.923,-122.7543,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain in the morning and overnight.
7,c28wqdjj1kpw,48.923,-122.7543,2020-01-27 00:00:00-08:00,rain,rain,"Light rain until afternoon, starting again overnight."
0,c231zx6049ke,46.7537,-122.0113,2020-01-20 00:00:00-08:00,partly-cloudy-day,rain,Possible drizzle overnight.
1,c231zx6049ke,46.7537,-122.0113,2020-01-21 00:00:00-08:00,rain,rain,Rain throughout the day.
2,c231zx6049ke,46.7537,-122.0113,2020-01-22 00:00:00-08:00,rain,rain,Rain throughout the day.
3,c231zx6049ke,46.7537,-122.0113,2020-01-23 00:00:00-08:00,rain,rain,Rain throughout the day.
4,c231zx6049ke,46.7537,-122.0113,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c231zx6049ke,46.7537,-122.0113,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c231zx6049ke,46.7537,-122.0113,2020-01-26 00:00:00-08:00,rain,rain,Partly cloudy throughout the day.
7,c231zx6049ke,46.7537,-122.0113,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c22y88meqxtf,47.5508,-122.6655,2020-01-20 00:00:00-08:00,rain,rain,"Light rain until morning, starting again in the evening."
1,c22y88meqxtf,47.5508,-122.6655,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c22y88meqxtf,47.5508,-122.6655,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
